#PItarget		PItarget/P			PI/PItarget		e/etarget		Tbulk				dtau*deldotv	Epi				Ep
0.000000e+00 0.000000e+00       1.0			 1.0				  0.150000     -0.000000e+00 4.982961e-01 1.201492e+00
-1.000000e-04 -2.469810e-03 1.003347e+00 9.999650e-01 0.161473 		1.791824e-01 5.030336e-01 1.197402e+00
2.000000e-04 -4.939621e-03 1.003126e+00 9.998589e-01 0.172946 		3.583649e-01 5.073345e-01 1.193597e+00
-3.000000e-04 -7.409431e-03 9.910420e-01 9.997379e-01 0.184419 		5.375473e-01 5.112636e-01 1.190020e+00
-4.000000e-04 -9.879242e-03 9.788792e-01 9.995845e-01 0.195892 		7.167298e-01 5.148551e-01 1.186702e+00
-5.000000e-04 -1.234905e-02 9.615474e-01 9.994294e-01 0.207366	 8.959122e-01 5.181684e-01 1.183610e+00
